Method,Image,Entropy,AG,MI,VIF,Qabf,Variance
DenseFuse,2.jpg,7.180649615426741,6.185053750052666,2.248376886762017,0.43252657113422843,0.43510649647700667,36.61682096872956
DenseFuse,3.jpg,7.067529272270919,4.045653945209492,2.5692143287085063,0.5647439993190779,0.48278108495233435,37.29531460734263
DenseFuse,4.jpg,7.331613950240631,4.791579104261477,2.893514861278918,0.6401703333689313,0.5062109678081883,44.84964001500323
DenseFuse,5.jpg,7.653942313301729,4.131992251678256,3.1938288017534155,0.6987854698351056,0.5245038009175313,54.74023539084688
DenseFuse,6.jpg,7.405221926593056,3.437923292659541,3.2315356248552813,0.690992718795918,0.49604349761792865,49.69863868183496
DenseFuse,7.jpg,7.564654197396212,5.206397553108486,3.632054097761154,0.5911036211845672,0.49808037978386105,50.91776255629685
DenseFuse,8.jpg,7.526221945834839,5.48666542092642,2.912848280905509,0.5903999092508136,0.5116513654651412,47.78175283042039
DenseFuse,9.jpg,7.719526624600965,4.256664603269868,3.302142082799042,0.6727613660745382,0.5501775204869224,57.078314471488476
DenseFuse,10.jpg,7.298547786307521,5.346242190902924,2.8472216903490946,0.5130375900025576,0.4880412725522791,40.704712853532165
DenseFuse,11.jpg,7.562708111043583,5.583514880466388,2.986863924846812,0.6831095045959078,0.5904348093431726,50.05583346336838
DenseFuse,12.jpg,7.63921743598093,6.191255379105198,2.8945981970058376,0.595036979741608,0.5022817107629268,50.59916469567705
DenseFuse,13.jpg,7.5117900217266795,5.498558435650559,2.999274995176192,0.5280801873946102,0.46787933520527536,47.2452242405623
DenseFuse,14.jpg,7.526084902697054,5.298450556939634,3.073639859206928,0.5941823071155167,0.4950634134684431,48.869791171142786
DenseFuse,15.jpg,7.660247455982688,5.478335339309749,3.1544679432853826,0.6058679415789072,0.4997966616473263,53.61886218036614
DenseFuse,16.jpg,7.663314938620722,4.329038601310999,3.060472948637301,0.6860535167913517,0.5639647876404759,53.61999622746164
DenseFuse,17.jpg,7.308630369166234,5.419611358052794,3.17642182755341,0.6993523837616377,0.523622132075854,42.08560183743026
DenseFuse,18.jpg,7.320647010788986,4.724180320987994,2.612511095346095,0.5498160602007284,0.49142274290411714,41.900293848542866
DenseFuse,19.jpg,7.348391526575025,4.159510599582752,3.0159679277265887,0.6706779483506524,0.4984860663458046,48.7511065222092
DenseFuse,20.jpg,7.0324742024179585,3.697333965352739,2.818507333194365,0.752864302815166,0.5115241112940487,38.35965561805657
